rec_survey_id	role	recommender_id	familiar_with_movie	knowledgeable	age_group	gender	race	degree	job	marital_status	political_view	religion	seeker_id	date
first_batch_28	RECOMMENDER	user_48	Agree	Agree	35 - 44	Female	Caucasian	Associate Degree	Employed	Married	Conservative	Mormon	user_49	2019-11-28 11:54:38.459973
first_batch_30	RECOMMENDER	user_12	Strongly agree	Strongly agree	35 - 44	Male	Caucasian	Bachelor/4-year Degree	Employed	Separated	Liberal	Atheist	user_50	2019-11-28 12:46:08.520984
first_batch_31	RECOMMENDER	user_51	Neither agree nor disagree	Agree	25 - 34	Female	Caucasian	Master	Employed	Separated	Moderate	Protestant	user_52	2019-11-28 13:08:08.792723
first_batch_32	RECOMMENDER	user_53	Strongly agree	Strongly agree	35 - 44	Female	Caucasian	Associate Degree	Employed	Married	Moderate	Roman Catholic	user_54	2019-11-28 13:50:47.771351
first_batch_33	RECOMMENDER	user_55	Strongly agree	Strongly agree	45 - 54	Female	Other	Associate Degree	Employed	Never been married	Liberal	Other	user_56	2019-11-28 14:37:24.064036
first_batch_34	RECOMMENDER	user_57	Agree	Agree	18 - 24	Female	Caucasian	Associate Degree	University Student	Never been married	Liberal	Other	user_58	2019-11-28 15:08:35.325658
first_batch_35	RECOMMENDER	user_59	Agree	Agree	55 - 74	Male	Caucasian	Master	Employed	Living with partner	Liberal	Roman Catholic	user_60	2019-11-28 16:38:50.092130
first_batch_36	RECOMMENDER	user_61	Agree	Agree	35 - 44	Female	Caucasian	High School/GED	Homemaker	Married	Liberal	Other	user_62	2019-11-28 17:37:57.047447
first_batch_37	RECOMMENDER	user_63	Strongly agree	Strongly agree	18 - 24	Female	Caucasian	Bachelor/4-year Degree	Employed	Never been married	Conservative	Roman Catholic	user_64	2019-11-28 17:42:38.170074
first_batch_38	RECOMMENDER	user_65	Agree	Agree	25 - 34	Female	Caucasian	High School/GED	Employed	Separated	Moderate	Protestant	user_66	2019-11-28 17:43:02.204571
first_batch_39	RECOMMENDER	user_67	Agree	Agree	25 - 34	Male	Caucasian	High School/GED	Employed	Never been married	Liberal	Atheist	user_68	2019-11-28 18:24:13.963709
first_batch_40	RECOMMENDER	user_69	Strongly agree	Strongly agree	35 - 44	Female	Caucasian	No Degree	Unable to Work	Married	Conservative	Roman Catholic	user_70	2019-12-05 16:57:27.410243
first_batch_41	RECOMMENDER	user_71	Agree	Agree	18 - 24	Female	African	Associate Degree	University Student	Never been married	Conservative	Protestant	user_72	2019-12-05 17:01:25.336036
first_batch_42	RECOMMENDER	user_73	Strongly agree	Strongly agree	25 - 34	Male	Caucasian	High School/GED	Employed	Never been married	Moderate	Atheist	user_5	2019-12-05 17:22:42.235107
first_batch_43	RECOMMENDER	user_74	Strongly agree	Strongly agree	45 - 54	Female	Hispanic/Latino	Bachelor/4-year Degree	Employed	Divorced	Moderate	Protestant	user_75	2019-12-05 17:24:23.130523
first_batch_44	RECOMMENDER	user_76	Strongly agree	Strongly agree	35 - 44	Female	Hispanic/Latino	Associate Degree	Employed	Divorced	Moderate	Roman Catholic	user_77	2019-12-05 17:45:03.712281
first_batch_45	RECOMMENDER	user_78	Strongly agree	Strongly agree	45 - 54	Female	Caucasian	Master	Employed	Married	Conservative	Protestant	user_79	2019-12-05 18:04:10.922830
first_batch_46	RECOMMENDER	user_80	Neither agree nor disagree	Neither agree nor disagree	18 - 24	Male	African	Associate Degree	Employed	Never been married	Liberal	Roman Catholic	user_81	2019-12-05 18:25:50.500096
first_batch_47	RECOMMENDER	user_78	Strongly agree	Strongly agree	45 - 54	Female	Caucasian	Master	Employed	Married	Conservative	Protestant	user_82	2019-12-05 18:32:33.922649
first_batch_48	RECOMMENDER	user_83	Agree	Agree	25 - 34	Male	Native American/American Indian/Alaskan Native	Master	Employed	Married	Moderate	Atheist	user_84	2019-12-05 19:58:57.096812
first_batch_49	RECOMMENDER	user_85	Agree	Agree	35 - 44	Female	South Asian	Bachelor/4-year Degree	Employed	Married	Moderate	Hindu	user_86	2019-12-05 20:07:38.609946
first_batch_50	RECOMMENDER	user_87	Agree	Agree	25 - 34	Female	Other	High School/GED	Employed	Never been married	Conservative	Protestant	user_88	2019-12-05 22:09:09.706057
first_batch_51	RECOMMENDER	user_89	Agree	Agree	45 - 54	Female	Caucasian	Associate Degree	Employed	Married	Moderate	Mormon	user_90	2019-12-05 22:34:14.594653
first_batch_52	RECOMMENDER	user_91	Agree	Agree	25 - 34	Other	Other	Bachelor/4-year Degree	Employed	Never been married	Moderate	Other	user_87	2019-12-05 22:41:25.796132
first_batch_53	RECOMMENDER	user_92	Strongly agree	Strongly agree	25 - 34	Female	Caucasian	Bachelor/4-year Degree	Employed	Never been married	Liberal	Roman Catholic	user_93	2019-12-06 05:15:40.930260
first_batch_54	RECOMMENDER	user_94	Strongly agree	Strongly agree	25 - 34	Female	Caucasian	Master	Employed	Married	Moderate	Orthodox	user_95	2019-12-06 06:36:19.508123
first_batch_55	RECOMMENDER	user_96	Strongly agree	Strongly agree	18 - 24	Female	Caucasian	Bachelor/4-year Degree	Employed	Never been married	Conservative	Protestant	user_97	2019-12-06 07:02:58.717897
first_batch_56	RECOMMENDER	user_98	Agree	Agree	25 - 34	Female	Caucasian	Bachelor/4-year Degree	Employed	Married	Liberal	Other	user_99	2019-12-06 07:22:46.918997
first_batch_57	RECOMMENDER	user_100	Strongly agree	Strongly agree	35 - 44	Female	Caucasian	Bachelor/4-year Degree	Homemaker	Married	Liberal	Other	user_101	2019-12-06 07:37:44.224774
first_batch_58	RECOMMENDER	user_102	Strongly agree	Strongly agree	45 - 54	Female	Caucasian	Associate Degree	Employed	Divorced	Conservative	Protestant	user_103	2019-12-06 09:22:09.130601
first_batch_59	RECOMMENDER	user_104	Strongly disagree	Strongly disagree	25 - 34	Female	Caucasian	Bachelor/4-year Degree	Employed	Never been married	Liberal	Other	user_105	2019-12-06 09:48:59.852705
first_batch_60	RECOMMENDER	user_106	Strongly agree	Agree	25 - 34	Female	Other	Bachelor/4-year Degree	Employed	Living with partner	Liberal	Protestant	user_107	2019-12-06 10:06:44.578665
first_batch_61	RECOMMENDER	user_108	Strongly agree	Strongly agree	25 - 34	Male	Caucasian	Associate Degree	Employed	Never been married	Liberal	Atheist	user_109	2019-12-06 10:21:23.762524
first_batch_62	RECOMMENDER	user_110	Disagree	Agree	45 - 54	Male	Caucasian	Bachelor/4-year Degree	Employed	Married	Conservative	Protestant	user_111	2019-12-06 10:22:10.631573
first_batch_63	RECOMMENDER	user_112	Strongly agree	Strongly agree	25 - 34	Female	Caucasian	High School/GED	Homemaker	Living with partner	Moderate	Other	user_113	2019-12-06 10:30:49.477362
first_batch_64	RECOMMENDER	user_114	Strongly agree	Strongly agree	35 - 44	Female	Caucasian	Bachelor/4-year Degree	Employed	Married	Conservative	Protestant	user_115	2019-12-06 10:52:07.218780
first_batch_65	RECOMMENDER	user_1	Neither agree nor disagree	Agree	35 - 44	Female	Caucasian	Associate Degree	Employed	Never been married	Moderate	Other	user_116	2019-12-06 10:56:17.262239
first_batch_66	RECOMMENDER	user_117	Strongly agree	Strongly agree	25 - 34	Female	Caucasian	High School/GED	Employed	Married	Moderate	Other	user_118	2019-12-06 11:08:02.587919
first_batch_67	RECOMMENDER	user_119	Agree	Agree	25 - 34	Female	Hispanic/Latino	Vocational Training	Homemaker	Married	Liberal	Other	user_120	2019-12-06 11:37:48.024331
first_batch_68	RECOMMENDER	user_121	Disagree	Disagree	45 - 54	Female	Caucasian	High School/GED	Employed	Separated	Liberal	Other	user_122	2019-12-06 11:39:03.773416
first_batch_69	RECOMMENDER	user_123	Strongly agree	Agree	25 - 34	Female	Caucasian	High School/GED	Employed	Married	Moderate	Other	user_124	2019-12-06 11:42:26.069609
first_batch_70	RECOMMENDER	user_125	Strongly agree	Strongly agree	45 - 54	Female	African	Master	Employed	Married	Liberal	Muslim	user_126	2019-12-06 12:19:01.867753
first_batch_71	RECOMMENDER	user_127	Agree	Agree	25 - 34	Male	Hispanic/Latino	Bachelor/4-year Degree	Employed	Never been married	Liberal	Atheist	user_128	2019-11-27 09:13:00.827620
first_batch_72	RECOMMENDER	user_129	Agree	Strongly agree	35 - 44	Female	Caucasian	Master	Employed	Married	Moderate	Roman Catholic	user_130	2019-11-27 09:31:45.032674
first_batch_73	RECOMMENDER	user_131	Agree	Agree	18 - 24	Male	Caucasian	Bachelor/4-year Degree	Employed	Never been married	Liberal	Atheist	user_132	2019-11-27 09:43:13.400348
first_batch_74	RECOMMENDER	user_133	Agree	Agree	25 - 34	Male	Caucasian	Associate Degree	Employed	Married	Conservative	Protestant	user_134	2019-11-27 09:45:12.599003
first_batch_75	RECOMMENDER	user_135	Strongly agree	Strongly agree	18 - 24	Male	Caucasian	High School/GED	Employed	Never been married	Liberal	Protestant	user_136	2019-11-27 09:57:27.400552
first_batch_76	RECOMMENDER	user_137	Agree	Agree	35 - 44	Male	Caucasian	Master	Employed	Married	Moderate	Atheist	user_138	2019-11-27 10:38:46.871478
first_batch_77	RECOMMENDER	user_139	Agree	Agree	35 - 44	Male	Caucasian	Bachelor/4-year Degree	Employed	Never been married	Liberal	Jewish	user_140	2019-11-27 11:16:14.629675
first_batch_78	RECOMMENDER	user_141	Agree	Agree	35 - 44	Male	Caucasian	Master	Employed	Married	Conservative	Protestant	user_142	2019-11-27 11:16:43.164400
first_batch_79	RECOMMENDER	user_143	Strongly agree	Strongly agree	35 - 44	Male	Caucasian	Associate Degree	Employed	Never been married	Liberal	Atheist	user_144	2019-11-27 11:46:22.379305
first_batch_80	RECOMMENDER	user_145	Disagree	Disagree	25 - 34	Female	African	Bachelor/4-year Degree	Employed	Divorced	Moderate	Protestant	user_146	2019-11-27 11:58:54.851200
first_batch_81	RECOMMENDER	user_147	Agree	Agree	35 - 44	Female	Hispanic/Latino	High School/GED	Employed	Never been married	Liberal	Atheist	user_148	2019-11-27 12:29:16.815738
first_batch_83	RECOMMENDER	user_149	Agree	Agree	25 - 34	Male	South Asian	Master	Employed	Married	Moderate	Hindu	user_150	2019-11-27 12:54:02.884147
first_batch_84	RECOMMENDER	user_151	Strongly agree	Strongly agree	18 - 24	Female	Caucasian	Bachelor/4-year Degree	Employed	Never been married	Liberal	Other	user_152	2019-11-27 13:22:16.195922
first_batch_85	RECOMMENDER	user_78	Strongly agree	Strongly agree	45 - 54	Female	Caucasian	Master	Employed	Married	Conservative	Protestant	user_153	2019-12-02 20:28:40.292650
first_batch_86	RECOMMENDER	user_154	Agree	Agree	45 - 54	Male	Caucasian	Associate Degree	Employed	Never been married	Liberal	Atheist	user_78	2019-12-02 20:49:09.738043
first_batch_87	RECOMMENDER	user_155	Agree	Agree	35 - 44	Male	Caucasian	High School/GED	Employed	Living with partner	Conservative	Protestant	user_156	2019-12-02 20:58:03.773258
first_batch_88	RECOMMENDER	user_157	Neither agree nor disagree	Neither agree nor disagree	55 - 74	Female	Caucasian	Master	Employed	Living with partner	Liberal	Protestant	user_158	2019-12-02 21:00:51.090377
first_batch_89	RECOMMENDER	user_159	Neither agree nor disagree	Neither agree nor disagree	25 - 34	Male	Caucasian	High School/GED	Employed	Never been married	Conservative	Roman Catholic	user_157	2019-12-02 21:36:47.191164
first_batch_90	RECOMMENDER	user_160	Strongly agree	Strongly agree	35 - 44	Female	African	Bachelor/4-year Degree	Employed	Divorced	Liberal	Protestant	user_161	2019-12-02 21:48:10.892744
first_batch_91	RECOMMENDER	user_162	Strongly agree	Strongly agree	18 - 24	Male	Caucasian	High School/GED	University Student	Never been married	Liberal	Other	user_163	2019-12-02 21:56:36.801207
first_batch_92	RECOMMENDER	user_164	Strongly agree	Strongly agree	25 - 34	Male	East Asian	Bachelor/4-year Degree	Employed	Never been married	Liberal	Buddhist	user_104	2019-12-02 22:39:35.741006
first_batch_93	RECOMMENDER	user_165	Strongly agree	Strongly agree	18 - 24	Female	Caucasian	High School/GED	Employed	Married	Conservative	Atheist	user_166	2019-12-03 02:21:33.541818
first_batch_94	RECOMMENDER	user_167	Strongly agree	Strongly agree	25 - 34	Male	Caucasian	Bachelor/4-year Degree	Employed	Never been married	Conservative	Other	user_168	2019-12-03 04:58:55.706833
first_batch_95	RECOMMENDER	user_169	Neither agree nor disagree	Neither agree nor disagree	35 - 44	Male	African	Associate Degree	University Student	Married	Moderate	Muslim	user_170	2019-12-03 05:15:30.121044
first_batch_96	RECOMMENDER	user_171	Agree	Agree	45 - 54	Female	Caucasian	High School/GED	Employed	Married	Conservative	Atheist	user_172	2019-12-03 05:39:59.734387
first_batch_97	RECOMMENDER	user_6	Strongly agree	Strongly agree	55 - 74	Female	African	Bachelor/4-year Degree	Employed	Married	Liberal	Protestant	user_173	2019-12-03 05:44:40.250524
first_batch_99	RECOMMENDER	user_174	Strongly agree	Strongly agree	35 - 44	Female	Caucasian	No Degree	Employed	Married	Liberal	Protestant	user_175	2019-12-03 06:30:49.393636
first_batch_100	RECOMMENDER	user_176	Agree	Agree	18 - 24	Female	Caucasian	Bachelor/4-year Degree	Employed	Never been married	Moderate	Roman Catholic	user_177	2019-12-03 06:40:53.049224
first_batch_101	RECOMMENDER	user_178	Strongly agree	Strongly agree	25 - 34	Female	African	High School/GED	Employed	Married	Conservative	Other	user_167	2019-12-03 06:54:51.101544
first_batch_102	RECOMMENDER	user_179	Strongly agree	Strongly agree	35 - 44	Female	Caucasian	Associate Degree	Employed	Married	Liberal	Atheist	user_180	2019-12-03 07:00:56.109553
first_batch_103	RECOMMENDER	user_181	Agree	Agree	35 - 44	Female	African	Master	University Student	Married	Moderate	Protestant	user_182	2019-12-03 07:16:30.907358
first_batch_104	RECOMMENDER	user_183	Strongly agree	Strongly agree	18 - 24	Male	South Asian	Doctorate	Employed	Never been married	Moderate	Muslim	user_184	2019-12-03 07:23:16.285068
first_batch_105	RECOMMENDER	user_185	Strongly agree	Agree	35 - 44	Female	Caucasian	Master	Employed	Married	Liberal	Protestant	user_186	2019-12-03 07:38:18.771357
first_batch_106	RECOMMENDER	user_187	Strongly agree	Strongly agree	25 - 34	Female	Caucasian	Bachelor/4-year Degree	Employed	Married	Liberal	Atheist	user_188	2019-12-03 07:43:01.393045
first_batch_107	RECOMMENDER	user_80	Agree	Agree	18 - 24	Male	African	Associate Degree	Employed	Never been married	Liberal	Roman Catholic	user_189	2019-12-03 07:52:21.071921
first_batch_108	RECOMMENDER	user_190	Strongly agree	Strongly agree	45 - 54	Female	Caucasian	Bachelor/4-year Degree	Employed	Divorced	Moderate	Roman Catholic	user_191	2019-12-03 08:01:10.686062
first_batch_109	RECOMMENDER	user_192	Strongly agree	Strongly agree	35 - 44	Female	Caucasian	High School/GED	Employed	Married	Moderate	Other	user_193	2019-12-03 08:03:33.294296
first_batch_110	RECOMMENDER	user_194	Strongly agree	Strongly agree	35 - 44	Male	Caucasian	"Professional Postgraduate Degree (Medical, Law, etc)"	Employed	Married	Liberal	Atheist	user_195	2019-12-03 08:06:27.775453
first_batch_111	RECOMMENDER	user_196	Strongly agree	Strongly agree	45 - 54	Female	Caucasian	High School/GED	Employed	Married	Conservative	Protestant	user_197	2019-12-03 08:09:29.869248
first_batch_112	RECOMMENDER	user_198	Agree	Strongly agree	25 - 34	Female	Hispanic/Latino	Bachelor/4-year Degree	Employed	Married	Liberal	Roman Catholic	user_199	2019-12-03 08:27:43.733685
first_batch_113	RECOMMENDER	user_200	Agree	Agree	35 - 44	Female	Caucasian	Master	Employed	Never been married	Liberal	Atheist	user_201	2019-12-03 12:51:28.530287
first_batch_114	RECOMMENDER	user_202	Strongly agree	Strongly agree	25 - 34	Female	East Asian	Bachelor/4-year Degree	Employed	Never been married	Liberal	Other	user_203	2019-12-03 12:59:47.784240
first_batch_117	RECOMMENDER	user_204	Agree	Agree	25 - 34	Female	Caucasian	High School/GED	Homemaker	Living with partner	Liberal	Other	user_205	2019-12-03 13:21:10.922804
first_batch_118	RECOMMENDER	user_149	Neither agree nor disagree	Neither agree nor disagree	25 - 34	Male	South Asian	Master	Employed	Married	Moderate	Hindu	user_206	2019-12-03 13:25:00.685724
first_batch_119	RECOMMENDER	user_207	Strongly agree	Strongly agree	35 - 44	Female	Other	Bachelor/4-year Degree	Employed	Never been married	Liberal	Other	user_208	2019-12-03 13:37:14.775855
first_batch_120	RECOMMENDER	user_209	Strongly agree	Strongly agree	35 - 44	Female	Caucasian	Bachelor/4-year Degree	Employed	Married	Conservative	Protestant	user_5	2019-12-03 13:50:16.132722
first_batch_121	RECOMMENDER	user_210	Strongly agree	Strongly agree	25 - 34	Female	Other	Associate Degree	Non-university student	Living with partner	Liberal	Other	user_211	2019-12-03 14:03:08.053573
first_batch_122	RECOMMENDER	user_212	Strongly agree	Strongly agree	35 - 44	Male	Caucasian	Bachelor/4-year Degree	Employed	Married	Liberal	Protestant	user_213	2019-12-03 14:09:24.231658
first_batch_123	RECOMMENDER	user_214	Agree	Agree	25 - 34	Male	East Asian	"Professional Postgraduate Degree (Medical, Law, etc)"	Employed	Never been married	Liberal	Roman Catholic	user_215	2019-12-03 14:20:50.246221
first_batch_124	RECOMMENDER	user_216	Strongly agree	Strongly agree	45 - 54	Female	Caucasian	Bachelor/4-year Degree	Employed	Never been married	Liberal	Atheist	user_217	2019-12-03 14:25:49.561305
first_batch_125	RECOMMENDER	user_218	Strongly agree	Strongly agree	18 - 24	Female	Caucasian	High School/GED	Homemaker	Married	Conservative	Atheist	user_219	2019-12-03 14:33:27.460635
first_batch_126	RECOMMENDER	user_77	Agree	Agree	45 - 54	Male	Caucasian	Bachelor/4-year Degree	Employed	Never been married	Moderate	Orthodox	user_220	2019-12-03 14:48:58.984283
first_batch_127	RECOMMENDER	user_221	Strongly agree	Strongly agree	55 - 74	Female	Caucasian	"Professional Postgraduate Degree (Medical, Law, etc)"	Retired	Married	Moderate	Protestant	user_222	2019-12-03 14:56:58.974171
first_batch_128	RECOMMENDER	user_223	Agree	Strongly agree	45 - 54	Female	Caucasian	High School/GED	Homemaker	Married	Conservative	Protestant	user_224	2019-12-03 15:12:15.484730
first_batch_129	RECOMMENDER	user_225	Strongly agree	Strongly agree	18 - 24	Male	Caucasian	High School/GED	University Student	Never been married	Moderate	Atheist	user_226	2019-12-03 15:29:29.605374
first_batch_130	RECOMMENDER	user_227	Strongly agree	Strongly agree	25 - 34	Female	Caucasian	Bachelor/4-year Degree	Homemaker	Married	Moderate	Roman Catholic	user_228	2019-12-03 15:42:32.514141
first_batch_131	RECOMMENDER	user_229	Agree	Agree	18 - 24	Female	Pacific Islander	High School/GED	Employed	Never been married	Moderate	Other	user_230	2019-12-03 15:53:05.381415
first_batch_132	RECOMMENDER	user_231	Strongly agree	Strongly agree	18 - 24	Female	Caucasian	High School/GED	University Student	Married	Moderate	Other	user_77	2019-12-03 15:57:11.998047
first_batch_133	RECOMMENDER	user_232	Strongly agree	Strongly agree	18 - 24	Female	Hispanic/Latino	Associate Degree	University Student	Never been married	Moderate	Other	user_233	2019-12-03 16:02:48.228409
first_batch_134	RECOMMENDER	user_234	Strongly agree	Strongly agree	25 - 34	Male	African	Associate Degree	Employed	Never been married	Moderate	Other	user_235	2019-12-03 16:14:27.530224
first_batch_135	RECOMMENDER	user_236	Agree	Agree	25 - 34	Male	Caucasian	Associate Degree	Non-university student	Married	Liberal	Atheist	user_237	2019-12-03 16:22:24.472475
first_batch_136	RECOMMENDER	user_238	Agree	Agree	35 - 44	Female	Caucasian	High School/GED	Homemaker	Married	Conservative	Protestant	user_239	2019-12-03 16:30:18.470395
first_batch_137	RECOMMENDER	user_240	Strongly agree	Strongly agree	25 - 34	Female	East Asian	Bachelor/4-year Degree	Employed	Never been married	Conservative	Protestant	user_241	2019-12-03 16:42:13.612392
first_batch_138	RECOMMENDER	user_242	Agree	Strongly agree	18 - 24	Female	Caucasian	Bachelor/4-year Degree	Employed	Never been married	Conservative	Protestant	user_243	2019-12-03 16:43:24.311163
first_batch_139	RECOMMENDER	user_244	Strongly disagree	Strongly disagree	25 - 34	Female	Caucasian	High School/GED	Employed	Married	Liberal	Protestant	user_245	2019-12-03 16:58:14.478210
first_batch_140	RECOMMENDER	user_246	Strongly agree	Strongly agree	18 - 24	Male	Southeast Asian	Bachelor/4-year Degree	Employed	Never been married	Moderate	Roman Catholic	user_247	2019-12-03 17:09:49.059817
first_batch_141	RECOMMENDER	user_248	Agree	Agree	18 - 24	Male	Pacific Islander	Associate Degree	Employed	Never been married	Moderate	Protestant	user_249	2019-12-03 17:13:08.664673
first_batch_142	RECOMMENDER	user_250	Strongly agree	Strongly agree	25 - 34	Female	Caucasian	Bachelor/4-year Degree	Employed	Never been married	Liberal	Atheist	user_251	2019-12-03 17:25:32.365390
first_batch_143	RECOMMENDER	user_80	Agree	Agree	18 - 24	Male	African	Associate Degree	Employed	Never been married	Liberal	Roman Catholic	user_252	2019-12-03 17:30:00.116378
first_batch_144	RECOMMENDER	user_253	Disagree	Agree	18 - 24	Female	African	High School/GED	Employed	Living with partner	Liberal	Other	user_254	2019-12-03 17:33:13.069858
first_batch_145	RECOMMENDER	user_255	Strongly agree	Strongly agree	25 - 34	Male	African	Bachelor/4-year Degree	Employed	Never been married	Conservative	Roman Catholic	user_256	2019-12-03 17:48:44.291173
first_batch_146	RECOMMENDER	user_257	Agree	Agree	55 - 74	Male	Caucasian	Vocational Training	Non-university student	Married	Moderate	Roman Catholic	user_258	2019-12-03 18:54:45.197915
first_batch_147	RECOMMENDER	user_259	Strongly agree	Strongly agree	25 - 34	Male	Caucasian	High School/GED	Employed	Never been married	Liberal	Buddhist	user_260	2019-12-03 18:56:07.707933
first_batch_148	RECOMMENDER	user_261	Strongly agree	Strongly agree	45 - 54	Female	Caucasian	Bachelor/4-year Degree	Employed	Married	Conservative	Protestant	user_262	2019-12-03 18:57:58.224071
first_batch_149	RECOMMENDER	user_263	Agree	Agree	18 - 24	Female	African	Bachelor/4-year Degree	Employed	Living with partner	Liberal	Protestant	user_264	2019-12-03 19:25:38.185345
first_batch_150	RECOMMENDER	user_265	Agree	Agree	18 - 24	Female	Caucasian	Associate Degree	Employed	Married	Liberal	Mormon	user_266	2019-12-03 20:11:47.476722
first_batch_151	RECOMMENDER	user_267	Strongly agree	Agree	45 - 54	Female	African	"Professional Postgraduate Degree (Medical, Law, etc)"	Retired	Married	Moderate	Other	user_157	2019-12-03 20:33:50.806264
first_batch_152	RECOMMENDER	user_268	Agree	Agree	25 - 34	Male	Hispanic/Latino	High School/GED	Employed	Married	Moderate	Roman Catholic	user_269	2019-12-03 21:01:17.610570
