seeker_survey_id	role	seeker_id	case	reason	age_group	gender	race	degree	job	marital_status	political_view	religion	recommender_id	date
first_batch_27	SEEKER	user_45	accept_others	Coen Brothers film, Nic Cage, quirky comedy. It has everything I want. 	35 - 44	Male	Caucasian	High School/GED	Employed	Never been married	Liberal	Other	user_0	2019-11-28 11:15:41.886266
first_batch_28	SEEKER	user_47	accept_rating_good	the movie looks really interesting	45 - 54	Female	Southeast Asian	Professional Postgraduate Degree (Medical, Law, etc)	Employed	Married	Conservative	Roman Catholic	user_46	2019-11-28 11:17:22.152960
first_batch_29	SEEKER	user_49	accept_others	He found something that fit a previous film that I loved. Same actors and same genre. 	45 - 54	Male	South Asian	Bachelor/4-year Degree	Employed	Never been married	Moderate	Atheist	user_48	2019-11-28 11:55:54.884260
first_batch_33	SEEKER	user_50	accept_others	It's by one of my favorite directors, consists of one of my favorite genres of movies, and I know the actors in the movie. I think it will be great.	25 - 34	Male	South Asian	Professional Postgraduate Degree (Medical, Law, etc)	Employed	Never been married	Moderate	Mormon	user_12	2019-11-28 12:53:55.310040
first_batch_34	SEEKER	user_52	accept_others	it sounds interesting enough to worth watching, especially since I have not seen it yet	25 - 34	Male	Southeast Asian	Bachelor/4-year Degree	Employed	Never been married	Moderate	Atheist	user_51	2019-11-28 13:09:50.760224
first_batch_37	SEEKER	user_54	accept_rating_good	What attracts me is the story, the action, and the actors to recommend the video. 	25 - 34	Male	Middle Eastern	Doctorate	Non-university student	Never been married	Moderate	Other	user_53	2019-11-28 13:56:57.974526
first_batch_38	SEEKER	user_56	accept_rating_good	The effects look great, and the premise seems interesting.	18 - 24	Male	East Asian	High School/GED	University Student	Never been married	Liberal	Buddhist	user_55	2019-11-28 14:40:27.168043
first_batch_39	SEEKER	user_58	accept_others	It sounds like a dorky Christmas movie, which is exactly what I need right now!	25 - 34	Male	Caucasian	High School/GED	Employed	Never been married	Liberal	Atheist	user_57	2019-11-28 15:09:46.241153
first_batch_40	SEEKER	user_60	accept_others	great story   great series   cant wait	35 - 44	Male	Caucasian	Bachelor/4-year Degree	Employed	Never been married	Conservative	Roman Catholic	user_59	2019-11-28 16:42:46.580715
first_batch_41	SEEKER	user_62	accept_others	i like a seeing new things	35 - 44	Male	Caucasian	Associate Degree	University Student	Divorced	Moderate	Protestant	user_61	2019-11-28 17:40:42.520845
first_batch_43	SEEKER	user_64	accept_rating_good	The person recommending it made it sound really funny.	35 - 44	Female	Caucasian	High School/GED	Employed	Married	Conservative	Protestant	user_63	2019-11-28 17:50:33.556999
first_batch_42	SEEKER	user_66	accept_rating_good	I have always loved Charles Addams' cartoons and the original TV series.	45 - 54	Female	Caucasian	No Degree	Employed	Never been married	Moderate	Protestant	user_65	2019-11-28 17:49:59.591361
first_batch_44	SEEKER	user_68	accept_uninterested	It was a movie starring John Cena. 	35 - 44	Male	Caucasian	Bachelor/4-year Degree	Employed	Married	Moderate	Protestant	user_67	2019-11-28 18:25:23.297563
first_batch_45	SEEKER	user_70	accept_others	It stars an actor I like and it fits that type of movie I am looking for.	35 - 44	Female	Caucasian	Bachelor/4-year Degree	Employed	Married	Moderate	Atheist	user_69	2019-12-05 16:59:51.654174
first_batch_46	SEEKER	user_72	accept_uninterested	it seems like an ok movie	25 - 34	Male	Caucasian	No Degree	Employed	Never been married	Moderate	Atheist	user_71	2019-12-05 17:02:41.563083
first_batch_47	SEEKER	user_5	accept_rating_good	They told me the movie I had in mind was a great movie.	55 - 74	Female	Caucasian	Associate Degree	Employed	Divorced	Moderate	Protestant	user_73	2019-12-05 17:27:16.302271
first_batch_48	SEEKER	user_75	accept_others	It is a sequel to a movie I have seen already and enjoyed. 	18 - 24	Female	Caucasian	No Degree	Employed	Never been married	Moderate	Atheist	user_74	2019-12-05 17:27:50.380905
first_batch_49	SEEKER	user_77	accept_rating_good	I love Tom Cruise	45 - 54	Male	Caucasian	Bachelor/4-year Degree	Employed	Never been married	Moderate	Orthodox	user_76	2019-12-05 17:49:29.384642
first_batch_50	SEEKER	user_79	accept_rating_good	It sounded like a great movie for the family to watch together.	25 - 34	Female	Hispanic/Latino	High School/GED	Employed	Never been married	Liberal	Protestant	user_78	2019-12-05 18:09:40.516808
first_batch_51	SEEKER	user_81	accept_rating_good	I like to see what other people would come up with.	25 - 34	Female	African	Bachelor/4-year Degree	Employed	Never been married	Liberal	Roman Catholic	user_80	2019-12-05 18:33:23.310867
first_batch_52	SEEKER	user_82	accept_others	I appreciated the description of specific performances and perfectly explained similarities to other movie genre I enjoy	35 - 44	Female	Hispanic/Latino	Bachelor/4-year Degree	Employed	Never been married	Moderate	Other	user_78	2019-12-05 18:35:26.422372
first_batch_53	SEEKER	user_84	accept_rating_good	I love Star Wars and am so excited to see the last one in the series.	35 - 44	Female	Caucasian	Vocational Training	Employed	Married	Conservative	Protestant	user_83	2019-12-05 20:03:20.562202
first_batch_54	SEEKER	user_86	accept_rating_good	i havent see it before and the title i love SBC!!!!!! 	25 - 34	Female	African	Master	Employed	Married	Moderate	Protestant	user_85	2019-12-05 20:13:04.104273
first_batch_55	SEEKER	user_88	accept_rating_good	more attractive when i see this trailer	25 - 34	Female	Caucasian	Bachelor/4-year Degree	Employed	Married	Moderate	Roman Catholic	user_87	2019-12-05 22:14:57.874629
first_batch_56	SEEKER	user_90	accept_rating_good	very difficult	35 - 44	Female	African	Bachelor/4-year Degree	Employed	Married	Conservative	Roman Catholic	user_89	2019-12-05 22:39:07.467352
first_batch_57	SEEKER	user_87	accept_others	They referred it to a similar movie I saw	25 - 34	Female	Other	High School/GED	Employed	Never been married	Conservative	Protestant	user_91	2019-12-05 22:42:26.092301
first_batch_58	SEEKER	user_93	accept_rating_good	The Deadpool movies are always exciting and fun, so it interests me.  	25 - 34	Male	African	High School/GED	University Student	Never been married	Liberal	Protestant	user_92	2019-12-06 05:32:16.971543
first_batch_59	SEEKER	user_95	accept_others	The recommendation from my partner.	25 - 34	Male	Caucasian	Associate Degree	Employed	Married	Conservative	Protestant	user_94	2019-12-06 06:36:42.751744
first_batch_60	SEEKER	user_97	accept_rating_good	The movie title seemed to be in the general area of my favorite film types. Natalie portman was in it.	18 - 24	Male	Southeast Asian	Associate Degree	Employed	Never been married	Moderate	Atheist	user_96	2019-12-06 07:07:20.095560
first_batch_61	SEEKER	user_99	accept_rating_mod	Jamie Lee Curtis and scary movies, except it is supposed to be a comedy this time 	25 - 34	Female	Southeast Asian	Professional Postgraduate Degree (Medical, Law, etc)	Employed	Never been married	Liberal	Other	user_98	2019-12-06 07:26:19.217399
first_batch_62	SEEKER	user_101	accept_rating_good	an abrupt change in the story flow	35 - 44	Male	East Asian	Doctorate	Employed	Married	Moderate	Other	user_100	2019-12-06 07:43:10.922376
first_batch_63	SEEKER	user_103	accept_others	As a Jewish woman, it hits home. It is insightful, but also brings a bit of light to such a dark situation.	Female	Caucasian	Associate Degree	Employed	Never been married	Liberal	Jewish	Excited	user_102	2019-12-06 09:28:59.791636
first_batch_64	SEEKER	user_105	accept_rating_good	The recommender knew and understood the movies that I was talking about.	45 - 54	Male	Caucasian	Bachelor/4-year Degree	Employed	Married	Conservative	Atheist	user_104	2019-12-06 09:52:43.364695
first_batch_65	SEEKER	user_107	accept_others	person talking	25 - 34	Male	East Asian	Bachelor/4-year Degree	Employed	Never been married	Moderate	Other	user_106	2019-12-06 10:06:44.579852
first_batch_66	SEEKER	user_109	accept_others	It matched what I wanted to watch.	35 - 44	Female	Caucasian	Master	Employed	Never been married	Moderate	Protestant	user_108	2019-12-06 10:23:45.226628
first_batch_67	SEEKER	user_111	accept_uninterested	My husbands favorite movies so we will be watching it for sure	45 - 54	Female	Hispanic/Latino	High School/GED	Employed	Married	Moderate	Other	user_110	2019-12-06 10:25:36.624250
first_batch_68	SEEKER	user_113	accept_rating_good	I like horror movies, but I have seen a lot of them. The recommender finally picked one I haven't seen, and it looks super interesting! It looks scary and authentic, and I can't wait to watch it for movie night!	35 - 44	Male	Caucasian	Bachelor/4-year Degree	Employed	Never been married	Conservative	Protestant	user_112	2019-12-06 10:34:55.537853
first_batch_69	SEEKER	user_115	accept_rating_good	i just loved it	35 - 44	Female	Caucasian	Master	Employed	Married	Liberal	Muslim	user_114	2019-12-06 10:57:12.085801
first_batch_70	SEEKER	user_116	accept_rating_good	That the movie is something that I would enjoy with an actor I enjoy. 	25 - 34	Male	Caucasian	Bachelor/4-year Degree	Employed	Never been married	Moderate	Roman Catholic	user_1	2019-12-06 11:02:56.409741
first_batch_71	SEEKER	user_118	accept_rating_good	Unpredictable story	25 - 34	Male	Caucasian	Bachelor/4-year Degree	Employed	Married	Liberal	Protestant	user_117	2019-12-06 11:11:46.504654
first_batch_72	SEEKER	user_120	accept_others	IMDB score, genre.	35 - 44	Female	Caucasian	Master	Homemaker	Married	Conservative	Roman Catholic	user_119	2019-12-06 11:39:04.067672
first_batch_73	SEEKER	user_122	accept_rating_good	nice screenplay and wow thrilling to the next sceans	25 - 34	Female	Native American/American Indian/Alaskan Native	Bachelor/4-year Degree	Employed	Married	Liberal	Roman Catholic	user_121	2019-12-06 11:44:58.758326
first_batch_74	SEEKER	user_124	accept_rating_good	The recommendations were all modern, new movies which I generally appeal to. The recommendations were also appropriate for the season (Black Christmas). 	18 - 24	Male	East Asian	High School/GED	University Student	Never been married	Liberal	Roman Catholic	user_123	2019-12-06 11:46:33.646594
first_batch_75	SEEKER	user_126	accept_others	My recommender seemed to have a gist of my taste in movies.	25 - 34	Female	Caucasian	Vocational Training	Employed	Married	Moderate	Other	user_125	2019-12-06 12:21:04.898934
first_batch_76	SEEKER	user_128	accept_rating_good	This movie is black buster.	25 - 34	Male	African	Professional Postgraduate Degree (Medical, Law, etc)	Employed	Married	Conservative	Roman Catholic	user_127	2019-11-27 09:17:43.489962
first_batch_78	SEEKER	user_130	accept_rating_good	The trailer has a lot of action and suspense in it, it also seems to be something that will have a couple plot twists so I am game to watch	25 - 34	Male	African	Bachelor/4-year Degree	Employed	Never been married	Moderate	Protestant	user_129	2019-11-27 09:36:47.026144
first_batch_79	SEEKER	user_132	accept_uninterested	I like the movie.	25 - 34	Male	Other	Bachelor/4-year Degree	Employed	Never been married	Conservative	Other	user_131	2019-11-27 09:43:37.840287
first_batch_80	SEEKER	user_134	accept_others	all	25 - 34	Male	Caucasian	Associate Degree	Employed	Married	Conservative	Roman Catholic	user_133	2019-11-27 09:50:47.747198
first_batch_81	SEEKER	user_136	accept_others	I like that it seems like a mystery comedy movie	25 - 34	Female	Hispanic/Latino	on	Employed	Living with partner	Liberal	Roman Catholic	user_135	2019-11-27 09:59:42.820603
first_batch_82	SEEKER	user_138	accept_others	they compared it to another movie that i liked	55 - 74	Female	Caucasian	Bachelor/4-year Degree	Employed	Living with partner	Moderate	Protestant	user_137	2019-11-27 10:41:02.187996
first_batch_84	SEEKER	user_140	accept_rating_good	The battle that ensues between the big guy versus the little guy.	35 - 44	Male	Caucasian	High School/GED	Employed	Living with partner	Liberal	Other	user_139	2019-11-27 11:20:48.155190
first_batch_83	SEEKER	user_142	accept_others	I accepted the one that was for younger kids called Playing With fire	45 - 54	Female	Caucasian	Bachelor/4-year Degree	Employed	Married	Conservative	Roman Catholic	user_141	2019-11-27 11:19:00.979627
first_batch_85	SEEKER	user_144	accept_uninterested	It has good acting and is filled with good laughs.	55 - 74	Female	Caucasian	Bachelor/4-year Degree	Employed	Divorced	Liberal	Protestant	user_143	2019-11-27 11:48:17.683998
first_batch_86	SEEKER	user_146	accept_others	Sounds like its interesting.	35 - 44	Male	Southeast Asian	Bachelor/4-year Degree	Employed	Married	Conservative	Roman Catholic	user_145	2019-11-27 12:02:51.467840
first_batch_87	SEEKER	user_148	accept_others	I like the action and showing my kids Arnold and Sylvester Stallone.	18 - 24	Male	Caucasian	High School/GED	Employed	Never been married	Liberal	Atheist	user_147	2019-11-27 12:31:17.310196
first_batch_89	SEEKER	user_150	accept_rating_good	It was a similar genre to what i said i had liked and i like the actors and topic of the film	18 - 24	Male	African	High School/GED	Non-university student	Never been married	Conservative	Atheist	user_149	2019-11-27 12:58:40.632870
first_batch_90	SEEKER	user_152	accept_rating_good	Interesting trailer, a movie I will definitely see	25 - 34	Male	Caucasian	Bachelor/4-year Degree	Employed	Married	Liberal	Roman Catholic	user_151	2019-11-27 13:27:34.711808
first_batch_91	SEEKER	user_153	accept_rating_good	It's about the beginning of Joker, who ends up fighting Batman so it sounds interesting. 	35 - 44	Male	East Asian	Bachelor/4-year Degree	Employed	Divorced	Liberal	Roman Catholic	user_78	2019-12-02 20:32:53.561820
first_batch_92	SEEKER	user_78	accept_rating_good	The movie has Kevin Costner who I enjoy and dogs which is fun	45 - 54	Female	Caucasian	Master	Employed	Married	Conservative	Protestant	user_154	2019-12-02 20:52:24.100516
first_batch_93	SEEKER	user_156	accept_rating_good	Knowing the types of movies I like, they were right on point and I will see that movie!	55 - 74	Female	African	Bachelor/4-year Degree	Employed	Divorced	Moderate	Protestant	user_155	2019-12-02 21:05:35.010305
first_batch_94	SEEKER	user_158	accept_rating_good	I've had a tough day and I really need a comedy movie to watch right now to cheer myself up after today!	25 - 34	Male	Caucasian	Associate Degree	Employed	Never been married	Liberal	Other	user_157	2019-12-02 21:07:07.982746
first_batch_95	SEEKER	user_157	accept_rating_good	I was looking for a light Christmas comedy an Elf fits that perfectly.	55 - 74	Female	Caucasian	Master	Employed	Living with partner	Liberal	Protestant	user_159	2019-12-02 21:40:25.095188
first_batch_96	SEEKER	user_161	accept_rating_good	It is a movie I've never seen in my absolute favorite genre, with one of my favorite actresses!	25 - 34	Female	Caucasian	High School/GED	Employed	Never been married	Conservative	Protestant	user_160	2019-12-02 21:52:20.348204
first_batch_97	SEEKER	user_163	accept_rating_good	I am a fan of Bond, and I have not watched the newer one's, with Daniel Craig, in a few years.	35 - 44	Male	Caucasian	Bachelor/4-year Degree	Employed	Married	Conservative	Protestant	user_162	2019-12-02 22:00:58.782713
first_batch_98	SEEKER	user_104	accept_others	I haven't seen it yet.	25 - 34	Female	Caucasian	Bachelor/4-year Degree	Employed	Never been married	Liberal	Buddhist	user_164	2019-12-02 22:44:51.692548
first_batch_99	SEEKER	user_166	accept_rating_good	Lady of tramp	25 - 34	Female	South Asian	High School/GED	Homemaker	Married	Moderate	Muslim	user_165	2019-12-03 02:28:00.359232
first_batch_100	SEEKER	user_168	accept_rating_good	It was recommended by someone who had seen it.	55 - 74	Female	Caucasian	High School/GED	Employed	Married	Moderate	Other	user_167	2019-12-03 05:02:32.802478
first_batch_101	SEEKER	user_170	accept_rating_good	I enjoyed that he thought I was a thrill seeker and enjoyed plot twists. 13 sins is a little bit more thriller than scary which I can appreciate. 	25 - 34	Female	Caucasian	Master	Employed	Living with partner	Moderate	Protestant	user_169	2019-12-03 05:21:59.127986
first_batch_102	SEEKER	user_172	accept_rating_good	The person recommending it seemed to like a lot of the same movies as I do and this one I had not heard of. 	35 - 44	Female	Caucasian	Associate Degree	Employed	Living with partner	Liberal	Other	user_171	2019-12-03 05:44:20.205183
first_batch_103	SEEKER	user_173	accept_uninterested	The cast, and the style of movie	25 - 34	Male	Caucasian	Doctorate	Employed	Living with partner	Moderate	Other	user_6	2019-12-03 05:46:21.830975
first_batch_105	SEEKER	user_175	accept_others	This season is the best period to watch the movie.	45 - 54	Female	Caucasian	Bachelor/4-year Degree	Employed	Divorced	Conservative	Protestant	user_174	2019-12-03 06:34:04.044346
first_batch_106	SEEKER	user_177	accept_rating_good	It is a series I am familiar with since I saw the first one and I love Reeves as an actor.	25 - 34	Male	Hispanic/Latino	Bachelor/4-year Degree	Employed	Married	Liberal	Roman Catholic	user_176	2019-12-03 06:43:50.578639
first_batch_107	SEEKER	user_167	accept_rating_good	the person listened to what movies I liked, and found one that i was interested in 	35 - 44	Male	Caucasian	Bachelor/4-year Degree	Employed	Never been married	Conservative	Protestant	user_178	2019-12-03 07:02:59.702943
first_batch_108	SEEKER	user_180	accept_rating_good	I accept the recommended video because it is one of my favorite movies and I thoroughly enjoy it and have seen it twice.	18 - 24	Female	Caucasian	High School/GED	Homemaker	Living with partner	Moderate	Roman Catholic	user_179	2019-12-03 07:07:33.734361
first_batch_109	SEEKER	user_182	accept_others	It features comedy which I asked for and has Will Smith which I said was my favorite actor.	25 - 34	Female	Caucasian	Bachelor/4-year Degree	Employed	Never been married	Moderate	Other	user_181	2019-12-03 07:20:16.716516
first_batch_110	SEEKER	user_184	accept_rating_good	I love funny movies that have plenty of action and most of the Marvel movies check both of those requirements. This was a perfect recommendation for me and my family.	25 - 34	Female	Caucasian	High School/GED	Homemaker	Married	Conservative	Protestant	user_183	2019-12-03 07:28:03.915969
first_batch_111	SEEKER	user_186	accept_rating_good	I really liked that there were 2 recommendation. One that was more for my husband and I. The other was for my children that would be a fun day of watching great comedies.	35 - 44	Female	African	Bachelor/4-year Degree	Employed	Married	Liberal	Protestant	user_185	2019-12-03 07:44:47.674854
first_batch_112	SEEKER	user_188	accept_rating_good	I enjoyed the first Frozen movie.	25 - 34	Male	Caucasian	Bachelor/4-year Degree	Employed	Never been married	Moderate	Protestant	user_187	2019-12-03 07:47:26.878612
first_batch_113	SEEKER	user_189	accept_uninterested	I love Will Smith & Denzel Washington	25 - 34	Female	Caucasian	Bachelor/4-year Degree	Employed	Living with partner	Liberal	Atheist	user_80	2019-12-03 07:56:40.945537
first_batch_114	SEEKER	user_191	accept_others	It's a different movie genre, and they're all from the past (most are older than I am), which is really cool because I always forget about what's out there. I've also seen some short trailers for the recommended video, and it looks good!	18 - 24	Female	South Asian	Bachelor/4-year Degree	Homemaker	Married	Liberal	Protestant	user_190	2019-12-03 08:06:05.922693
first_batch_115	SEEKER	user_193	accept_others	Will Ferral is one of my favorite actors. Also when recommender stated it was mind binding it perked my interest!	35 - 44	Female	Caucasian	Vocational Training	Employed	Married	Conservative	Protestant	user_192	2019-12-03 08:08:03.084751
first_batch_116	SEEKER	user_195	accept_rating_mod	it is an older western.	45 - 54	Male	Caucasian	Vocational Training	Retired	Married	Conservative	Protestant	user_194	2019-12-03 08:12:39.655067
first_batch_117	SEEKER	user_197	accept_rating_good	I like horror movies, and the plot sounds interesting.	18 - 24	Female	Caucasian	Master	Employed	Never been married	Moderate	Atheist	user_196	2019-12-03 08:13:29.311354
first_batch_118	SEEKER	user_199	reject		25 - 34	Male	East Asian	Master	Employed	Married	Liberal	Other	user_198	2019-12-03 08:29:04.677743
first_batch_119	SEEKER	user_201	accept_rating_good	I haven't seen it 	35 - 44	Female	Caucasian	Bachelor/4-year Degree	Employed	Married	Liberal	Roman Catholic	user_200	2019-12-03 12:57:29.254486
first_batch_120	SEEKER	user_203	accept_rating_good	Surreal comedy tone	18 - 24	Female	Caucasian	Bachelor/4-year Degree	University Student	Never been married	Liberal	Roman Catholic	user_202	2019-12-03 13:02:41.884038
first_batch_125	SEEKER	user_205	accept_rating_mod	I took time and watched the trailer and it seemed like something that I would probably want to see.	45 - 54	Female	African	Bachelor/4-year Degree	Employed	Married	Moderate	Atheist	user_204	2019-12-03 13:41:51.240945
first_batch_123	SEEKER	user_206	accept_rating_good	those are good movies.	45 - 54	Female	Caucasian	No Degree	Employed	Living with partner	Moderate	Other	user_149	2019-12-03 13:29:59.097128
first_batch_124	SEEKER	user_208	accept_uninterested	I like Adam Sandler and his older movies.	35 - 44	Female	Caucasian	High School/GED	Employed	Married	Liberal	Protestant	user_207	2019-12-03 13:40:27.907420
first_batch_126	SEEKER	user_5	accept_rating_good	The cast and the genre are exactly what I was looking for.	55 - 74	Female	Caucasian	Associate Degree	Employed	Divorced	Moderate	Protestant	user_209	2019-12-03 13:55:56.308202
first_batch_127	SEEKER	user_211	accept_rating_mod	The description of the storyline was interesting	18 - 24	Male	Caucasian	High School/GED	Employed	Married	Conservative	Atheist	user_210	2019-12-03 14:11:42.376722
first_batch_128	SEEKER	user_213	accept_others	There was no video, but the bot did recommend lesser known titles of popular directors.	35 - 44	Male	Caucasian	Associate Degree	Employed	Separated	Liberal	Atheist	user_212	2019-12-03 14:12:37.590249
first_batch_129	SEEKER	user_215	accept_rating_mod	Will Smith	55 - 74	Male	Caucasian	Professional Postgraduate Degree (Medical, Law, etc)	Retired	Never been married	Liberal	Other	user_214	2019-12-03 14:29:04.750239
first_batch_130	SEEKER	user_217	accept_rating_good	The actors are well-known quality actors and I have heard about this movie before, that it was good.  	25 - 34	Male	Caucasian	Bachelor/4-year Degree	Employed	Married	Moderate	Atheist	user_216	2019-12-03 14:31:19.357795
first_batch_131	SEEKER	user_219	accept_rating_good	I love horror movies, and since it near Christmas, this movie would be perfect.	35 - 44	Female	Caucasian	Associate Degree	Employed	Never been married	Liberal	Other	user_218	2019-12-03 14:37:32.101222
first_batch_132	SEEKER	user_220	accept_uninterested	The fact that it's a sequel to The Shining.	25 - 34	Male	Caucasian	Vocational Training	Employed	Never been married	Liberal	Atheist	user_77	2019-12-03 14:51:08.119524
first_batch_133	SEEKER	user_222	accept_rating_good	Because I have never seen Tag before and I normally like movies like this.	25 - 34	Male	Caucasian	High School/GED	Homemaker	Divorced	Moderate	Other	user_221	2019-12-03 15:03:49.811335
first_batch_134	SEEKER	user_224	accept_others	I wanted to see what it was like.	35 - 44	Female	Caucasian	Master	Homemaker	Married	Liberal	Jewish	user_223	2019-12-03 15:14:38.451643
first_batch_135	SEEKER	user_226	accept_rating_good	I like batman	25 - 34	Male	Other	Bachelor/4-year Degree	University Student	Never been married	Moderate	Other	user_225	2019-12-03 15:33:13.220010
first_batch_136	SEEKER	user_228	accept_rating_good	It looks like a great crime thriller, and it was directed by Scorsese, which was my original request.	45 - 54	Female	Caucasian	Master	Employed	Married	Moderate	Protestant	user_227	2019-12-03 15:46:07.611782
first_batch_138	SEEKER	user_230	accept_rating_good	I love Christmas movies and this type of movie in general. 	45 - 54	Male	Caucasian	Bachelor/4-year Degree	Employed	Married	Conservative	Jewish	user_229	2019-12-03 16:00:57.658322
first_batch_137	SEEKER	user_77	accept_others	I like Keanuu Reves,	45 - 54	Male	Caucasian	Bachelor/4-year Degree	Employed	Never been married	Moderate	Orthodox	user_231	2019-12-03 15:57:30.632999
