seeker_survey_id	role	seeker_id	case	competent	confident	efficient	knowledgeable	warm	agreable	trustworthy	sincere	engaging	persuasive	natural	rich_vocab	creative	pressure_me	manipulative	boring	recommender_id
first_batch_12	SEEKER	user_20	accept_others	Neither agree nor disagree	Disagree	Agree	Disagree	Neither agree nor disagree	Neither agree nor disagree	Agree	Strongly agree	Disagree	Strongly disagree	Strongly disagree	Neither agree nor disagree	Disagree	Disagree	Agree	Strongly disagree	user_19
first_batch_13	SEEKER	user_8	accept_rating_good	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Neither agree nor disagree	Disagree	Disagree	Disagree	Disagree	user_21
first_batch_14	SEEKER	user_23	accept_rating_good	Strongly agree	Strongly agree	Agree	Agree	Strongly agree	Neither agree nor disagree	Neither agree nor disagree	Agree	Strongly agree	Agree	Strongly agree	Neither agree nor disagree	Disagree	Strongly disagree	Strongly disagree	Strongly disagree	user_22
first_batch_17	SEEKER	user_25	accept_rating_good	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Strongly agree	Agree	Agree	Strongly disagree	Strongly disagree	Strongly disagree	user_24
first_batch_15	SEEKER	user_27	accept_uninterested	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Neither agree nor disagree	Agree	Disagree	Disagree	Neither agree nor disagree	user_26
first_batch_16	SEEKER	user_29	accept_uninterested	Agree	Agree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Agree	Agree	Agree	Agree	Neither agree nor disagree	Disagree	Agree	Neither agree nor disagree	Agree	Agree	Neither agree nor disagree	user_28
first_batch_19	SEEKER	user_31	accept_rating_good	Strongly agree	Agree	Agree	Agree	Neither agree nor disagree	Agree	Agree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Agree	Disagree	Neither agree nor disagree	Strongly disagree	Strongly disagree	Disagree	user_30
first_batch_18	SEEKER	user_33	accept_uninterested	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Strongly agree	Strongly disagree	Strongly disagree	Strongly disagree	user_32
first_batch_20	SEEKER	user_35	accept_rating_good	Agree	Agree	Agree	Agree	Strongly agree	Agree	Agree	Agree	Agree	Agree	Agree	Neither agree nor disagree	Disagree	Strongly disagree	Strongly disagree	Strongly disagree	user_34
first_batch_21	SEEKER	user_37	accept_rating_good	Agree	Agree	Agree	Agree	Neither agree nor disagree	Agree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Strongly disagree	Strongly disagree	Neither agree nor disagree	user_36
first_batch_22	SEEKER	user_39	accept_others	Strongly agree	Strongly agree	Agree	Agree	Agree	Agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Neither agree nor disagree	Strongly disagree	Strongly disagree	Strongly disagree	user_38
first_batch_23	SEEKER	user_40	accept_others	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Disagree	Disagree	Disagree	user_26
first_batch_24	SEEKER	user_26	accept_uninterested	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	user_6
first_batch_25	SEEKER	user_42	accept_others	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Neither agree nor disagree	Agree	Agree	Neither agree nor disagree	Strongly disagree	Strongly disagree	Strongly disagree	user_41
first_batch_26	SEEKER	user_44	accept_uninterested	Disagree	Neither agree nor disagree	Strongly agree	Neither agree nor disagree	Disagree	Disagree	Agree	Agree	Neither agree nor disagree	Strongly disagree	Disagree	Disagree	Neither agree nor disagree	Strongly agree	Neither agree nor disagree	Disagree	user_43
first_batch_27	SEEKER	user_45	accept_others	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Neither agree nor disagree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Strongly agree	Strongly agree	Strongly agree	Strongly disagree	Strongly disagree	Strongly disagree	user_0
first_batch_28	SEEKER	user_47	accept_rating_good	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly disagree	Strongly disagree	Strongly disagree	user_46
first_batch_29	SEEKER	user_49	accept_others	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Disagree	Disagree	Disagree	user_48
first_batch_33	SEEKER	user_50	accept_others	Agree	Agree	Agree	Agree	Agree	Agree	Strongly agree	Strongly agree	Strongly agree	Agree	Agree	Strongly agree	Agree	Disagree	Strongly disagree	Disagree	user_12
first_batch_34	SEEKER	user_52	accept_others	Neither agree nor disagree	Neither agree nor disagree	Agree	Agree	Agree	Neither agree nor disagree	Neither agree nor disagree	Agree	Neither agree nor disagree	Neither agree nor disagree	Agree	Neither agree nor disagree	Neither agree nor disagree	Disagree	Disagree	Disagree	user_51
first_batch_37	SEEKER	user_54	accept_rating_good	Agree	Strongly agree	Agree	Agree	Agree	Agree	Agree	Strongly agree	Strongly agree	Neither agree nor disagree	Neither agree nor disagree	Agree	Neither agree nor disagree	Disagree	Disagree	Disagree	user_53
first_batch_38	SEEKER	user_56	accept_rating_good	Strongly agree	Agree	Neither agree nor disagree	Agree	Strongly agree	Strongly agree	Agree	Strongly agree	Strongly agree	Agree	Strongly agree	Strongly agree	Agree	Strongly disagree	Strongly disagree	Strongly disagree	user_55
first_batch_39	SEEKER	user_58	accept_others	Strongly agree	Agree	Agree	Strongly agree	Agree	Agree	Agree	Agree	Agree	Neither agree nor disagree	Agree	Neither agree nor disagree	Agree	Disagree	Disagree	Agree	user_57
first_batch_40	SEEKER	user_60	accept_others	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Neither agree nor disagree	user_59
first_batch_41	SEEKER	user_62	accept_others	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Strongly agree	Agree	Agree	Agree	Agree	Neither agree nor disagree	Disagree	Disagree	user_61
first_batch_43	SEEKER	user_64	accept_rating_good	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Strongly agree	Strongly agree	Agree	Disagree	Agree	Agree	Strongly disagree	Strongly disagree	Strongly disagree	user_63
first_batch_42	SEEKER	user_66	accept_rating_good	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Neither agree nor disagree	Neither agree nor disagree	Disagree	Disagree	Strongly disagree	user_65
first_batch_44	SEEKER	user_68	accept_uninterested	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Neither agree nor disagree	Strongly agree	Agree	Agree	Strongly disagree	Strongly disagree	Strongly disagree	user_67
first_batch_45	SEEKER	user_70	accept_others	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Agree	Neither agree nor disagree	Disagree	Disagree	user_69
first_batch_46	SEEKER	user_72	accept_uninterested	Strongly agree	Strongly agree	Agree	Agree	Strongly agree	Agree	Neither agree nor disagree	Strongly agree	Strongly agree	Agree	Agree	Agree	Disagree	Strongly disagree	Strongly disagree	Neither agree nor disagree	user_71
first_batch_47	SEEKER	user_5	accept_rating_good	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Agree	Agree	Disagree	Disagree	Strongly disagree	user_73
first_batch_48	SEEKER	user_75	accept_others	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly disagree	Strongly disagree	Strongly disagree	user_74
first_batch_49	SEEKER	user_77	accept_rating_good	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Strongly disagree	Strongly disagree	Strongly disagree	user_76
first_batch_50	SEEKER	user_79	accept_rating_good	Agree	Strongly agree	Agree	Strongly agree	Neither agree nor disagree	Agree	Strongly agree	Agree	Agree	Neither agree nor disagree	Disagree	Neither agree nor disagree	Agree	Strongly disagree	Strongly disagree	Disagree	user_78
first_batch_51	SEEKER	user_81	accept_rating_good	Neither agree nor disagree	Agree	Agree	Agree	Agree	Agree	Neither agree nor disagree	Neither agree nor disagree	Agree	Neither agree nor disagree	Agree	Neither agree nor disagree	Neither agree nor disagree	Disagree	Disagree	Neither agree nor disagree	user_80
first_batch_52	SEEKER	user_82	accept_others	Strongly disagree	Strongly disagree	Neither agree nor disagree	Strongly disagree	Neither agree nor disagree	Strongly disagree	Neither agree nor disagree	Neither agree nor disagree	Strongly disagree	Neither agree nor disagree	Agree	Neither agree nor disagree	Agree	Strongly disagree	Strongly disagree	Neither agree nor disagree	user_78
first_batch_53	SEEKER	user_84	accept_rating_good	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Strongly disagree	Strongly disagree	Strongly disagree	user_83
first_batch_54	SEEKER	user_86	accept_rating_good	Disagree	Disagree	Strongly disagree	Disagree	Agree	Agree	Agree	Agree	Strongly disagree	Strongly disagree	Agree	Disagree	Strongly disagree	Strongly disagree	Strongly disagree	Strongly agree	user_85
first_batch_55	SEEKER	user_88	accept_rating_good	Disagree	Neither agree nor disagree	Agree	Strongly agree	Agree	Neither agree nor disagree	Agree	Strongly agree	Agree	Neither agree nor disagree	Neither agree nor disagree	Agree	Strongly agree	Agree	Neither agree nor disagree	Agree	user_87
first_batch_56	SEEKER	user_90	accept_rating_good	Agree	Strongly agree	Agree	Agree	Strongly agree	Agree	Agree	Strongly agree	Strongly agree	Agree	Agree	Strongly agree	Agree	Agree	Strongly agree	Strongly agree	user_89
first_batch_57	SEEKER	user_87	accept_others	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Disagree	Disagree	Disagree	user_91
first_batch_58	SEEKER	user_93	accept_rating_good	Strongly agree	Strongly agree	Agree	Strongly agree	Agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Disagree	Strongly disagree	Disagree	user_92
first_batch_59	SEEKER	user_95	accept_others	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly disagree	Strongly disagree	Strongly disagree	user_94
first_batch_60	SEEKER	user_97	accept_rating_good	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Neither agree nor disagree	Neither agree nor disagree	Disagree	Disagree	Disagree	user_96
first_batch_61	SEEKER	user_99	accept_rating_mod	Agree	Neither agree nor disagree	Neither agree nor disagree	Agree	Agree	Agree	Neither agree nor disagree	Agree	Disagree	Disagree	Agree	Disagree	Neither agree nor disagree	Strongly disagree	Strongly disagree	Agree	user_98
first_batch_62	SEEKER	user_101	accept_rating_good	Disagree	Disagree	Agree	Agree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Disagree	Agree	Agree	Agree	Neither agree nor disagree	Disagree	Disagree	Agree	user_100
first_batch_63	SEEKER	user_103	accept_others	Disagree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Strongly agree	Neither agree nor disagree	Strongly disagree	Strongly disagree	Strongly disagree	Probably yes	user_102
first_batch_64	SEEKER	user_105	accept_rating_good	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Agree	Neither agree nor disagree	Disagree	Disagree	Strongly disagree	user_104
first_batch_65	SEEKER	user_107	accept_others	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	user_106
first_batch_66	SEEKER	user_109	accept_others	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Agree	Disagree	Disagree	Disagree	user_108
first_batch_67	SEEKER	user_111	accept_uninterested	Agree	Agree	Agree	Agree	Agree	Agree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Agree	Disagree	Disagree	Disagree	user_110
first_batch_68	SEEKER	user_113	accept_rating_good	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Disagree	Disagree	Neither agree nor disagree	user_112
first_batch_69	SEEKER	user_115	accept_rating_good	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Neither agree nor disagree	Strongly disagree	Strongly disagree	Strongly disagree	Strongly disagree	user_114
first_batch_70	SEEKER	user_116	accept_rating_good	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Strongly agree	Neither agree nor disagree	Neither agree nor disagree	Strongly disagree	Strongly disagree	Strongly disagree	user_1
first_batch_71	SEEKER	user_118	accept_rating_good	Agree	Neither agree nor disagree	Neither agree nor disagree	Agree	Strongly agree	Strongly agree	Strongly agree	Agree	Agree	Strongly agree	Strongly agree	Agree	Neither agree nor disagree	Disagree	Disagree	Strongly disagree	user_117
first_batch_72	SEEKER	user_120	accept_others	Agree	Agree	Strongly disagree	Agree	Agree	Agree	Neither agree nor disagree	Neither agree nor disagree	Disagree	Disagree	Disagree	Disagree	Neither agree nor disagree	Disagree	Disagree	Agree	user_119
first_batch_73	SEEKER	user_122	accept_rating_good	Agree	Agree	Agree	Strongly agree	Agree	Neither agree nor disagree	Agree	Agree	Agree	Agree	Agree	Neither agree nor disagree	Agree	Disagree	Neither agree nor disagree	Strongly disagree	user_121
first_batch_74	SEEKER	user_124	accept_rating_good	Agree	Agree	Agree	Agree	Neither agree nor disagree	Strongly agree	Agree	Agree	Agree	Neither agree nor disagree	Agree	Agree	Neither agree nor disagree	Disagree	Disagree	Agree	user_123
first_batch_75	SEEKER	user_126	accept_others	Agree	Agree	Agree	Neither agree nor disagree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	user_125
first_batch_76	SEEKER	user_128	accept_rating_good	Strongly agree	Agree	Strongly agree	Strongly agree	Neither agree nor disagree	Agree	Agree	Strongly agree	Neither agree nor disagree	Agree	Strongly agree	Agree	Neither agree nor disagree	Agree	Agree	Strongly agree	user_127
first_batch_78	SEEKER	user_130	accept_rating_good	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly disagree	Strongly disagree	Neither agree nor disagree	user_129
first_batch_79	SEEKER	user_132	accept_uninterested	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	user_131
first_batch_80	SEEKER	user_134	accept_others	Agree	Agree	Neither agree nor disagree	Agree	Agree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Agree	Strongly agree	Agree	Neither agree nor disagree	Agree	Strongly agree	Neither agree nor disagree	Disagree	user_133
first_batch_81	SEEKER	user_136	accept_others	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Neither agree nor disagree	Agree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	user_135
first_batch_82	SEEKER	user_138	accept_others	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Neither agree nor disagree	Strongly disagree	Strongly disagree	Strongly disagree	user_137
first_batch_84	SEEKER	user_140	accept_rating_good	Strongly agree	Neither agree nor disagree	Agree	Strongly agree	Disagree	Disagree	Strongly agree	Agree	Strongly agree	Agree	Strongly agree	Strongly agree	Agree	Disagree	Strongly disagree	Neither agree nor disagree	user_139
first_batch_83	SEEKER	user_142	accept_others	Agree	Neither agree nor disagree	Neither agree nor disagree	Agree	Agree	Agree	Agree	Agree	Neither agree nor disagree	Agree	Agree	Neither agree nor disagree	Neither agree nor disagree	Disagree	Disagree	Disagree	user_141
first_batch_85	SEEKER	user_144	accept_uninterested	Agree	Agree	Agree	Agree	Strongly agree	Strongly agree	Agree	Strongly agree	Agree	Agree	Agree	Disagree	Strongly agree	Strongly disagree	Strongly disagree	Disagree	user_143
first_batch_86	SEEKER	user_146	accept_others	Strongly disagree	Strongly disagree	Strongly disagree	Strongly disagree	Strongly disagree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly disagree	Strongly disagree	Strongly disagree	Strongly disagree	Strongly disagree	Strongly disagree	user_145
first_batch_87	SEEKER	user_148	accept_others	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Neither agree nor disagree	Agree	Disagree	Disagree	Disagree	user_147
first_batch_89	SEEKER	user_150	accept_rating_good	Strongly agree	Agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Neither agree nor disagree	Strongly agree	Agree	Neither agree nor disagree	Strongly disagree	Strongly disagree	Strongly disagree	user_149
first_batch_90	SEEKER	user_152	accept_rating_good	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Strongly disagree	Strongly disagree	Strongly disagree	user_151
first_batch_91	SEEKER	user_153	accept_rating_good	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	user_78
first_batch_92	SEEKER	user_78	accept_rating_good	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Strongly disagree	Strongly disagree	Strongly disagree	user_154
first_batch_93	SEEKER	user_156	accept_rating_good	Strongly agree	Strongly agree	Agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Neither agree nor disagree	Agree	Disagree	Strongly disagree	Strongly disagree	user_155
first_batch_94	SEEKER	user_158	accept_rating_good	Strongly agree	Strongly agree	Strongly agree	Agree	Strongly agree	Strongly agree	Neither agree nor disagree	Agree	Agree	Neither agree nor disagree	Agree	Neither agree nor disagree	Neither agree nor disagree	Strongly disagree	Strongly disagree	Strongly disagree	user_157
first_batch_95	SEEKER	user_157	accept_rating_good	Strongly agree	Agree	Agree	Strongly agree	Strongly agree	Strongly agree	Agree	Strongly agree	Agree	Agree	Agree	Agree	Agree	Disagree	Disagree	Disagree	user_159
first_batch_96	SEEKER	user_161	accept_rating_good	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly disagree	Strongly disagree	Strongly disagree	user_160
first_batch_97	SEEKER	user_163	accept_rating_good	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Neither agree nor disagree	Agree	Agree	Agree	Disagree	Disagree	Disagree	user_162
first_batch_98	SEEKER	user_104	accept_others	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Neither agree nor disagree	Agree	Disagree	Strongly disagree	Strongly disagree	user_164
first_batch_99	SEEKER	user_166	accept_rating_good	Agree	Agree	Neither agree nor disagree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Neither agree nor disagree	Agree	Agree	Neither agree nor disagree	Strongly disagree	Strongly disagree	Disagree	user_165
first_batch_100	SEEKER	user_168	accept_rating_good	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Disagree	Disagree	Strongly disagree	user_167
first_batch_101	SEEKER	user_170	accept_rating_good	Agree	Strongly agree	Disagree	Strongly agree	Agree	Agree	Agree	Agree	Strongly agree	Agree	Agree	Agree	Agree	Disagree	Disagree	Disagree	user_169
first_batch_102	SEEKER	user_172	accept_rating_good	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly disagree	Strongly disagree	Strongly disagree	user_171
first_batch_103	SEEKER	user_173	accept_uninterested	Agree	Agree	Neither agree nor disagree	Strongly agree	Neither agree nor disagree	Agree	Agree	Agree	Neither agree nor disagree	Agree	Agree	Agree	Neither agree nor disagree	Disagree	Strongly disagree	Disagree	user_6
first_batch_105	SEEKER	user_175	accept_others	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Neither agree nor disagree	Disagree	Disagree	Disagree	Disagree	user_174
first_batch_106	SEEKER	user_177	accept_rating_good	Agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Strongly agree	Agree	Agree	Agree	Agree	Agree	Agree	Strongly disagree	Strongly disagree	Strongly disagree	user_176
first_batch_107	SEEKER	user_167	accept_rating_good	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Strongly disagree	Strongly disagree	Strongly disagree	user_178
first_batch_108	SEEKER	user_180	accept_rating_good	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly disagree	Strongly disagree	Neither agree nor disagree	user_179
first_batch_109	SEEKER	user_182	accept_others	Agree	Agree	Agree	Agree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Disagree	Neither agree nor disagree	Neither agree nor disagree	Disagree	Disagree	Disagree	Agree	user_181
first_batch_110	SEEKER	user_184	accept_rating_good	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Strongly disagree	Strongly disagree	Strongly disagree	user_183
first_batch_111	SEEKER	user_186	accept_rating_good	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly disagree	Strongly disagree	Disagree	user_185
first_batch_112	SEEKER	user_188	accept_rating_good	Agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Neither agree nor disagree	Strongly agree	Strongly agree	Strongly agree	Agree	Strongly agree	Strongly agree	Disagree	Disagree	Disagree	user_187
first_batch_113	SEEKER	user_189	accept_uninterested	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly disagree	Strongly disagree	Strongly disagree	user_80
first_batch_114	SEEKER	user_191	accept_others	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	user_190
first_batch_115	SEEKER	user_193	accept_others	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Neither agree nor disagree	Neither agree nor disagree	Strongly agree	Agree	Strongly agree	Strongly agree	Agree	Strongly disagree	Strongly disagree	Strongly disagree	user_192
